C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_19_253.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_19_253.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_19_253.jpg,0,0,0,1.111221E-05
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_19_326.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_19_326.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_19_326.jpg,0,0,0,1.146396E-05
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_19_445.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_19_445.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_19_445.jpg,0,0,0,9.248759E-06
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_19_514.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_19_514.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_19_514.jpg,0,0,0,3.193105E-06
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_19_597.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_19_597.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_19_597.jpg,0,0,0,1.19493E-05
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_19_669.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_19_669.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_19_669.jpg,0,0,0,5.588448E-06
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_19_777.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_19_777.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_19_777.jpg,0,0,0,5.693016E-06
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_19_848.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_19_848.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_19_848.jpg,0,0,0,7.787304E-06
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_19_916.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_19_916.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_19_916.jpg,0,0,0,3.452239E-07
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_19_986.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_19_986.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_19_986.jpg,0,0,0,5.50602E-06
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_20_097.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_20_097.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_20_097.jpg,0,0,0,1.050313E-05
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_20_171.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_20_171.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_20_171.jpg,0,0,0,7.424137E-06
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_20_305.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_20_305.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_20_305.jpg,0,0,0,6.82255E-06
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_20_389.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_20_389.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_20_389.jpg,0,0.2087499,0,0.2435582
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_20_488.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_20_488.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_20_488.jpg,0,0,0,0.1983886
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_20_598.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_20_598.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_20_598.jpg,0,0,0,0.1957029
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_20_699.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_20_699.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_20_699.jpg,0,0,0,0.1933693
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_20_821.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_20_821.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_20_821.jpg,0,0,0,0.1906002
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_20_949.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_20_949.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_20_949.jpg,0,0,0,0.1874117
C:\Users\KIIT\Desktop\Datasets\IMG\center_2020_01_04_02_20_21_016.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\left_2020_01_04_02_20_21_016.jpg,C:\Users\KIIT\Desktop\Datasets\IMG\right_2020_01_04_02_20_21_016.jpg,0,0,0,0.1860589
